Date,Transaction Description,Category,Amount,Type
02-01-2024,Gas teacher national weight all.,Travel,1099.9,Expense
02-01-2024,Himself fire heavy.,Rent,101.1,Expense
04-01-2024,Allow news.,Investment,3852,Income
04-01-2024,Man care resource.,Investment,2036,Income
07-01-2024,Notice make.,Other,2266,Income
09-01-2024,Occur live take media hot.,Entertainment,1436.41,Expense
09-01-2024,Wife pay good within fly.,Other,880,Income
10-01-2024,And student give score agree.,Rent,1546.57,Expense
11-01-2024,Best generation group goal.,Utilities,1928.07,Expense
11-01-2024,Doctor fine be.,Investment,4045,Income
11-01-2024,Boy college mrs.,Salary,1849.5,Expense
12-01-2024,Price institution method inside.,Utilities,1386.72,Expense
13-01-2024,Onto worry help hope.,Investment,1348,Income
14-01-2024,Space beyond.,Health & Fitness,1013.18,Expense
15-01-2024,Market specific property coach.,Entertainment,554.46,Expense
16-01-2024,Wide cut player wind.,Travel,911.16,Expense
16-01-2024,Degree enter father of source.,Other,4696,Income
16-01-2024,Behind front attack song little.,Health & Fitness,1426.63,Expense
17-01-2024,Somebody prepare few sound.,Entertainment,409.77,Expense
19-01-2024,Finish increase economy middle public.,Travel,1376.36,Expense
19-01-2024,Thing physical might.,Utilities,1962.86,Expense
19-01-2024,Material produce station visit environmental.,Utilities,1012.75,Expense
19-01-2024,Table trade various risk art.,Health & Fitness,1423.6,Expense
20-01-2024,Leg drive second she.,Salary,1169.78,Expense
22-01-2024,Five store ask data.,Shopping,1351.74,Expense
23-01-2024,Statement position either.,Travel,1756.18,Expense
24-01-2024,Draw change agree someone.,Food & Drink,1050.23,Expense
25-01-2024,Magazine yard instead town.,Investment,934,Income
26-01-2024,Evening ahead smile.,Entertainment,541.29,Expense
26-01-2024,Compare system white magazine after.,Travel,1369.95,Expense
26-01-2024,Own test too imagine.,Investment,2917,Income
27-01-2024,However style.,Food & Drink,723.78,Expense
28-01-2024,Born same usually.,Entertainment,1487.4,Expense
30-01-2024,Wear use edge this draw.,Entertainment,1026.74,Expense
01-02-2024,Forget once hope security.,Travel,1388.94,Expense
06-02-2024,Design blood degree ever.,Other,3674,Income
07-02-2024,Television argue mouth.,Health & Fitness,1932.01,Expense
07-02-2024,Nation little east everyone.,Other,2163,Income
10-02-2024,Little happy final population.,Salary,1661.67,Expense
10-02-2024,Real small.,Health & Fitness,1512.66,Expense
10-02-2024,Need finally when.,Entertainment,1554.53,Expense
14-02-2024,Movement door kind.,Travel,903.14,Expense
14-02-2024,Until truth feeling view.,Rent,382.08,Expense
15-02-2024,Decision three trouble.,Investment,3590,Income
16-02-2024,Smile ever bag single.,Other,2664,Income
17-02-2024,Say unit four institution.,Other,546,Income
19-02-2024,Recognize media goal.,Utilities,89.48,Expense
21-02-2024,Law agree appear political.,Food & Drink,1549.59,Expense
21-02-2024,Able customer figure.,Travel,986.2,Expense
21-02-2024,Book economic.,Health & Fitness,155.03,Expense
22-02-2024,Rate society floor long same.,Entertainment,1914.41,Expense
